CMD_ID,CMD_PKT_NAME,CMD_PKT_RELID,qry_icd_cmd_definitions_agg_spec_SHORT_DESCRIPTION,qry_icd_cmd_definitions_agg_spec_DESCRIPTION,SEQUENCE_NUMBER,AGGREGATE_SPEC_RELID,MAX_LENGTH,DATA_ITEM_RELID,CONSTRAINT_RELID,ENDIAN_RELID,DATA_ITEM_NAME,UNITS,DATA_TYPE_RELID,ARRAY_RELID,ENUM_RELID,ANALOG_RELID,data_item_SHORT_DESCRIPTION,data_item_DESCRIPTION,DATA_TYPE_NAME,NUM_BITS,ENDIAN_NAME,LOW_VALUE,HIGH_VALUE,ARRAY_NAME,NUM_DIMENSIONS,DIM_1_SIZE,DIM_2_SIZE,ANALOG_NAME,NUM_COEF,COEF_0,COEF_1
60,TLM_PLDD_CONTROL,1023,Telemetry Payload Data Downlink Control,,20,3001,2,15137,,2,TLM_IF,,24,,50,,Telemetry Interface (node) Select,The target telemetry interface node for the command.  This This node must be registered to receive telemetry frames from the bus through the Bus Telemetry Stream  (#5) service.,UInt8,8,little_endian,,,,,,,,,,
64,LOG_INIT,1252,Initialize Log,,10,18016,1,21086,,2,LOG_ID,,24,,4324,,Log ID,,UInt8,8,little_endian,,,,,,,,,,
66,LOG_START_REC,1254,Start Log Recording,,10,18020,1,21086,,2,LOG_ID,,24,,4324,,Log ID,,UInt8,8,little_endian,,,,,,,,,,
67,LOG_SEQ_PB,1255,Start Log Sequential Playback,,10,18021,4,21086,,2,LOG_ID,,24,,4324,,Log ID,,UInt8,8,little_endian,,,,,,,,,,
67,LOG_SEQ_PB,1255,Start Log Sequential Playback,,20,18022,4,21089,,2,RESET_NEXT_READ_SECTOR,,24,,3,,Log Sequential Playback Reset Next Read Sector,,UInt8,8,little_endian,,,,,,,,,,
67,LOG_SEQ_PB,1255,Start Log Sequential Playback,,30,18023,4,21090,,2,PB_CYCLE_STATE,,24,,4325,,Log Playback Cycle State,,UInt8,8,little_endian,,,,,,,,,,
67,LOG_SEQ_PB,1255,Start Log Sequential Playback,,40,18000,4,15137,,2,TLM_IF,,24,,50,,Telemetry Interface (node) Select,The target telemetry interface node for the command.  This This node must be registered to receive telemetry frames from the bus through the Bus Telemetry Stream  (#5) service.,UInt8,8,little_endian,,,,,,,,,,
68,LOG_RAN_PB,1256,Start Log Random Playback,,10,18024,11,21086,,2,LOG_ID,,24,,4324,,Log ID,,UInt8,8,little_endian,,,,,,,,,,
68,LOG_RAN_PB,1256,Start Log Random Playback,,20,18025,11,21087,,2,START_ABS_SECTOR,,26,,,,Log Configure Start Absolute Sector,,UInt32,32,little_endian,,,,,,,,,,
68,LOG_RAN_PB,1256,Start Log Random Playback,,30,18026,11,21088,,2,END_ABS_SECTOR,,26,,,,Log Configure End Absolute Sector,,UInt32,32,little_endian,,,,,,,,,,
68,LOG_RAN_PB,1256,Start Log Random Playback,,40,18027,11,21090,,2,PB_CYCLE_STATE,,24,,4325,,Log Playback Cycle State,,UInt8,8,little_endian,,,,,,,,,,
68,LOG_RAN_PB,1256,Start Log Random Playback,,50,18001,11,15137,,2,TLM_IF,,24,,50,,Telemetry Interface (node) Select,The target telemetry interface node for the command.  This This node must be registered to receive telemetry frames from the bus through the Bus Telemetry Stream  (#5) service.,UInt8,8,little_endian,,,,,,,,,,
69,LOG_STOP_REC,1257,Stop Log Record,,10,18028,1,21086,,2,LOG_ID,,24,,4324,,Log ID,,UInt8,8,little_endian,,,,,,,,,,
70,LOG_STOP_PB,1258,Stop Log Playback,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
71,LOG_SET_RATE,1259,Set Logging Rate,,10,18029,2,21086,,2,LOG_ID,,24,,4324,,Log ID,,UInt8,8,little_endian,,,,,,,,,,
71,LOG_SET_RATE,1259,Set Logging Rate,,20,18030,2,21091,,2,LOG_RATE,,24,,,,Log Rate,,UInt8,8,little_endian,,,,,,,,,,
72,LOG_RAW_GPS_MSG,1260,Enable/Disable Logging of Raw GPS msgs,,10,18118,3,22072,,2,GPS_MSG_ID,,25,,,,GPS msg ID,,UInt16,16,little_endian,,,,,,,,,,
72,LOG_RAW_GPS_MSG,1260,Enable/Disable Logging of Raw GPS msgs,,20,18119,3,22110,,2,LOG_GPS_RAW_EN,,24,,298,,Enable/Disable Logging Raw GPS msgs,,UInt8,8,little_endian,,,,,,,,,,
73,GPS_LOG,1261,Enable GPS Log,,10,18120,32,22172,,2,GPS_PORT_ADDR,,26,,,,GPS Message Port Address,,UInt32,32,little_endian,,,,,,,,,,
73,GPS_LOG,1261,Enable GPS Log,,20,18121,32,22072,,2,GPS_MSG_ID,,25,,,,GPS msg ID,,UInt16,16,little_endian,,,,,,,,,,
73,GPS_LOG,1261,Enable GPS Log,,30,18122,32,22073,,2,GPS_MSG_TYPE,,24,,,,GPS msg type,,UInt8,8,little_endian,,,,,,,,,,
73,GPS_LOG,1261,Enable GPS Log,,40,18123,32,22164,,2,GPS_RESERVED_UINT8,,24,,,,GPS Reserved Char,,UInt8,8,little_endian,,,,,,,,,,
73,GPS_LOG,1261,Enable GPS Log,,50,18124,32,22165,,2,GPS_LOG_TRIG,,26,,,,GPS Log Trigger,,UInt32,32,little_endian,,,,,,,,,,
73,GPS_LOG,1261,Enable GPS Log,,60,18125,32,22166,,2,GPS_LOG_PER,,29,,,,GPS Log Period,,Ieee64,64,little_endian,,,,,,,,,,
73,GPS_LOG,1261,Enable GPS Log,,70,18126,32,22167,,2,GPS_LOG_OFFSET,,29,,,,GPS Log Offset,,Ieee64,64,little_endian,,,,,,,,,,
73,GPS_LOG,1261,Enable GPS Log,,80,18127,32,22168,,2,GPS_LOG_HOLD,,26,,,,GPS Log Hold,,UInt32,32,little_endian,,,,,,,,,,
74,GPS_UNLOG,1262,Disable GPS Log,,10,18128,8,22172,,2,GPS_PORT_ADDR,,26,,,,GPS Message Port Address,,UInt32,32,little_endian,,,,,,,,,,
74,GPS_UNLOG,1262,Disable GPS Log,,20,18129,8,22072,,2,GPS_MSG_ID,,25,,,,GPS msg ID,,UInt16,16,little_endian,,,,,,,,,,
74,GPS_UNLOG,1262,Disable GPS Log,,30,18130,8,22073,,2,GPS_MSG_TYPE,,24,,,,GPS msg type,,UInt8,8,little_endian,,,,,,,,,,
74,GPS_UNLOG,1262,Disable GPS Log,,40,18131,8,22164,,2,GPS_RESERVED_UINT8,,24,,,,GPS Reserved Char,,UInt8,8,little_endian,,,,,,,,,,
75,GPS_RESET,1263,GPS Hardware Reset,,10,18132,4,22169,,2,GPS_RESET_DELAY,s,26,,,,GPS Reset Delay,,UInt32,32,little_endian,,,,,,,,,,
76,GPS_RAW,1264,GPS Bent-pipe command,,10,18135,66,22072,,2,GPS_MSG_ID,,25,,,,GPS msg ID,,UInt16,16,little_endian,,,,,,,,,,
76,GPS_RAW,1264,GPS Bent-pipe command,,20,18136,66,22173,,2,GPS_RAW_DATA,,24,1454,,,GPS Raw Data Buffer,,UInt8,8,little_endian,,,GPS_RAW_DATA,1,64,,,,,
77,GPS_RCVR_INIT,1265,Initialize GPS receiver,,10,18137,1,22174,,2,GPS_CMD_RCVR_INIT,,24,,,,GPS Receiver Initialization,,UInt8,8,little_endian,,,,,,,,,,
78,GPS_CTRL,1266,GPS Control,,10,28000,2,24100,,2,GPS_ACTION,,24,,4700,,GPS Control Action,,UInt8,8,little_endian,,,,,,,,,,
78,GPS_CTRL,1266,GPS Control,,20,28001,2,24101,,2,GPS_PARAM,,24,,,,GPS Control Parameter,,UInt8,8,little_endian,,,,,,,,,,
79,GPS_PROPAGATE,1267,GPS Propagate,,10,28010,48,24110,,2,GPS_PROP_RX,km,29,,,,GPS Propagate Rx,,Ieee64,64,little_endian,,,,,,,,,,
79,GPS_PROPAGATE,1267,GPS Propagate,,20,28011,48,24111,,2,GPS_PROP_RY,km,29,,,,GPS Propagate Ry,,Ieee64,64,little_endian,,,,,,,,,,
79,GPS_PROPAGATE,1267,GPS Propagate,,30,28012,48,24112,,2,GPS_PROP_RZ,km,29,,,,GPS Propagate Rz,,Ieee64,64,little_endian,,,,,,,,,,
79,GPS_PROPAGATE,1267,GPS Propagate,,40,28013,48,24113,,2,GPS_PROP_VX,km/s,29,,,,GPS Propagate Vx,,Ieee64,64,little_endian,,,,,,,,,,
79,GPS_PROPAGATE,1267,GPS Propagate,,50,28014,48,24114,,2,GPS_PROP_VY,km/s,29,,,,GPS Propagate Vy,,Ieee64,64,little_endian,,,,,,,,,,
79,GPS_PROPAGATE,1267,GPS Propagate,,60,28015,48,24115,,2,GPS_PROP_VZ,km/s,29,,,,GPS Propagate Vz,,Ieee64,64,little_endian,,,,,,,,,,
80,BIM_PWR_ON,100,BIM Power On,Power on the selected BIM channel by sending MCU commands to the PIM.,10,10700,1,1310,,2,BIM_CHAN,,24,,30,,BIM Power Channel,Specified which BIM power channel to act upon.,UInt8,8,little_endian,,,,,,,,,,
81,BIM_PWR_OFF,101,BIM Power Off,Power off the selected BIM channel by sending MCU commands to the PIM.,10,10701,1,1310,,2,BIM_CHAN,,24,,30,,BIM Power Channel,Specified which BIM power channel to act upon.,UInt8,8,little_endian,,,,,,,,,,
82,BIM_CTRL,102,BIM Control,Send control commands to the BIM MCU based on the action specified in the BIM_ACTION parameter. Some actions require an additional parameter value provided in BIM_PARAM.,10,10704,2,1314,,2,BIM_ACTION,,24,,32,,BIM Control Action,Specified the control action to take.  Some actions require an additional value for BIM_PARAM.,UInt8,8,little_endian,,,,,,,,,,
82,BIM_CTRL,102,BIM Control,Send control commands to the BIM MCU based on the action specified in the BIM_ACTION parameter. Some actions require an additional parameter value provided in BIM_PARAM.,20,10705,2,1315,,2,BIM_PARAM,,24,,,,BIM Control Parameter,"Required additional parameter for some of the actions specified by the BIM_ACTION parameter.  If not required, may be set to zero.",UInt8,8,little_endian,,,,,,,,,,
83,BAT_FORCE_HEATER,160,Battery Set Force Heater State,"Set the force heater off state.   If the heater is forced off, it remains off always.  If not, the heater may come on under thermostat control.",10,1060,1,1060,,2,FORCE_OFF,,24,,4,,Battery Force Off Heater,"If YES, force the heater off.  If NO, allow the thermostat to control the heater.",UInt8,8,little_endian,,,,,,,,,,
84,BAT_RESET,161,Battery Reset,Reset the Battery communications interface.,,,0,,,,,,,,,,,,,,,,,,,,,,,,
85,EPS_SET_WDOG_PERIOD,150,EPS Set Communications Watchdog Period,Set the communications timeout value.  The system will be reset if no communications with the EPS occurs within this time limit (normally the FSW is continually acquiring telemetry from the EPS).,10,1050,1,1050,,2,WDOG_PER,min,24,,,,EPS Communications Watchdog Period,"If the EPS does not receive I2C communications within this many minutes of the last transaction, the entire system will be reset by power cycle.",UInt8,8,little_endian,,,,,,,,,,
86,EPS_RESET_MAN,151,EPS Manual Reset,Issue a manual reset command to the EPS.  This resets the EPS communications interface.,,,0,,,,,,,,,,,,,,,,,,,,,,,,
87,EPS_RESET_PCM,152,EPS PCM Reset,"Issue a Power Conditioning Module reset to the EPS.  This will result in a 500 milliseconds power cycle to the selected power busses.  The selected busses are the OR of the parameters PCM_12V, PCM_3V3, PCM_5V, PCM_BATTV.",10,1051,1,1051,,2,PCM_SPARE,,188,,,,Reset PCM Spare Bits,,4BitUInt8,4,little_endian,,,,,,,,,,
87,EPS_RESET_PCM,152,EPS PCM Reset,"Issue a Power Conditioning Module reset to the EPS.  This will result in a 500 milliseconds power cycle to the selected power busses.  The selected busses are the OR of the parameters PCM_12V, PCM_3V3, PCM_5V, PCM_BATTV.",20,1052,1,1052,,2,PCM_12V,,1,,4,,Reset PCM 12V Bus,Select the PCM 12V Bus for reset.,1BitUInt8,1,little_endian,,,,,,,,,,
87,EPS_RESET_PCM,152,EPS PCM Reset,"Issue a Power Conditioning Module reset to the EPS.  This will result in a 500 milliseconds power cycle to the selected power busses.  The selected busses are the OR of the parameters PCM_12V, PCM_3V3, PCM_5V, PCM_BATTV.",30,1053,1,1053,,2,PCM_3V3,,1,,4,,Reset PCM 3.3V Bus,Select the PCM 3.3V Bus for reset.,1BitUInt8,1,little_endian,,,,,,,,,,
87,EPS_RESET_PCM,152,EPS PCM Reset,"Issue a Power Conditioning Module reset to the EPS.  This will result in a 500 milliseconds power cycle to the selected power busses.  The selected busses are the OR of the parameters PCM_12V, PCM_3V3, PCM_5V, PCM_BATTV.",40,1054,1,1054,,2,PCM_5V,,1,,4,,Reset PCM 5V Bus,Select the PCM 5V Bus for reset.,1BitUInt8,1,little_endian,,,,,,,,,,
87,EPS_RESET_PCM,152,EPS PCM Reset,"Issue a Power Conditioning Module reset to the EPS.  This will result in a 500 milliseconds power cycle to the selected power busses.  The selected busses are the OR of the parameters PCM_12V, PCM_3V3, PCM_5V, PCM_BATTV.",50,1055,1,1055,,2,PCM_BATTV,,1,,4,,Reset PCM Battery Voltage Bus,Select the PCM Battery Voltage Bus for reset.,1BitUInt8,1,little_endian,,,,,,,,,,
88,PIM_PWR_ON,200,PIM Power On,Power on the selected PIM channel by sending MCU commands to the PIM.,10,10702,1,1312,,2,PIM_CHAN,,24,,31,,PIM Power Channel,Specified which PIM power channel to act upon.,UInt8,8,little_endian,,,,,,,,,,
89,PIM_PWR_OFF,201,PIM Power Off,Power off the selected PIM channel by sending MCU commands to the PIM.,10,10703,1,1312,,2,PIM_CHAN,,24,,31,,PIM Power Channel,Specified which PIM power channel to act upon.,UInt8,8,little_endian,,,,,,,,,,
90,PIM_CTRL,202,PIM Control,Send control commands to the PIM MCU based on the action specified in the PIM_ACTION parameter. Some actions require an additional parameter value provided in PIM_PARAM.,10,10706,2,1316,,2,PIM_ACTION,,24,,33,,PIM Control Action,Specified the control action to take.  Some actions require an additional value for PIM_PARAM.,UInt8,8,little_endian,,,,,,,,,,
90,PIM_CTRL,202,PIM Control,Send control commands to the PIM MCU based on the action specified in the PIM_ACTION parameter. Some actions require an additional parameter value provided in PIM_PARAM.,20,10707,2,1317,,2,PIM_PARAM,,24,,,,PIM Control Parameter,"Required additional parameter for some of the actions specified by the PIM_ACTION parameter.  If not required, may be set to zero.",UInt8,8,little_endian,,,,,,,,,,
91,SCPI_RAW,250,SCPI Raw Command String,Forward a SCPI command string to one of the MCU-based modules.,10,1350,129,1350,,2,SCPI_MODULE,,24,,35,,SCPI Target Module,The MCU hardware module that the SCPI command will be sent to.,UInt8,8,little_endian,,,,,,,,,,
91,SCPI_RAW,250,SCPI Raw Command String,Forward a SCPI command string to one of the MCU-based modules.,20,1351,129,1351,,2,SCPI_CMD,,301,1300,,,SCPI Command String,The command string forwarded to the target MCU.  The FSW will handle adding the terminating newline character.  The size of this string is determined implicitly by the total length of the command packet obtained from the packet header.,Character,8,little_endian,,,SCPI_CMD_STRING,1,128,,,,,
92,BAT_PMK_CTRL,162,Pumpkin Battery MCU Control,Send control commands to the Pumpkin Battery MCU based on the action specified in the BAT_PMK_ACTION parameter. Some actions require an additional parameter value provided in BAT_PMK_PARAM.,10,31200,2,31200,,2,BAT_PMK_ACTION,,24,,41,,Pumpkin Battery Control Action,Specified the control action to take.  Some actions require an additional value for BAT_PMK_PARAM.,UInt8,8,little_endian,,,,,,,,,,
92,BAT_PMK_CTRL,162,Pumpkin Battery MCU Control,Send control commands to the Pumpkin Battery MCU based on the action specified in the BAT_PMK_ACTION parameter. Some actions require an additional parameter value provided in BAT_PMK_PARAM.,20,31201,2,31201,,2,BAT_PMK_PARAM,,24,,,,Pumpkin Battery Control Parameter,"Required additional parameter for some of the actions specified by the BAT_PMK_ACTION parameter.  If not required, may be set to zero.",UInt8,8,little_endian,,,,,,,,,,
93,PIM_SET,203,PIM Set,"Set the Shunt resistor value (uOhm), Current limit (mA), or linear fit coefficients (scaling factor and offset) for a given PORT to a specified VALUE",10,10710,22,1320,,2,PIM_ITEM_SEL,,24,,4800,,PIM Item to set,,UInt8,8,little_endian,,,,,,,,,,
93,PIM_SET,203,PIM Set,"Set the Shunt resistor value (uOhm), Current limit (mA), or linear fit coefficients (scaling factor and offset) for a given PORT to a specified VALUE",20,10711,22,1321,,2,PIM_SHUNT,,25,,,,PIM Shunt resistor,,UInt16,16,little_endian,,,,,,,,,,
93,PIM_SET,203,PIM Set,"Set the Shunt resistor value (uOhm), Current limit (mA), or linear fit coefficients (scaling factor and offset) for a given PORT to a specified VALUE",30,10712,22,1322,,2,PIM_I_LIMIT,,25,,,,PIM Current limit,,UInt16,16,little_endian,,,,,,,,,,
93,PIM_SET,203,PIM Set,"Set the Shunt resistor value (uOhm), Current limit (mA), or linear fit coefficients (scaling factor and offset) for a given PORT to a specified VALUE",40,10713,22,1323,,2,PIM_I_OFFSET,,29,,,,PIM Current offset,,Ieee64,64,little_endian,,,,,,,,,,
93,PIM_SET,203,PIM Set,"Set the Shunt resistor value (uOhm), Current limit (mA), or linear fit coefficients (scaling factor and offset) for a given PORT to a specified VALUE",50,10714,22,1324,,2,PIM_I_SCALE,,29,,,,PIM Current scaling factor,,Ieee64,64,little_endian,,,,,,,,,,
93,PIM_SET,203,PIM Set,"Set the Shunt resistor value (uOhm), Current limit (mA), or linear fit coefficients (scaling factor and offset) for a given PORT to a specified VALUE",60,10715,22,1325,,2,PIM_PORT,,24,,31,,PIM Port,,UInt8,8,little_endian,,,,,,,,,,
94,PIM_ETH,204,PIM Ethernet,"Command the Ethernet switch to ON, OFF, RESET, or UNRESET",10,10720,1,1330,,2,PIM_ETH_ACTION,,24,,4801,,PIM Ethernet Switch Action,,UInt8,8,little_endian,,,,,,,,,,
95,PIM_LED,205,PIM LED,Command the BLUE or RED LED to turn ON or OFF,10,10725,2,1335,,2,PIM_LED_COLOR,,24,,4802,,PIM LED Color,,UInt8,8,little_endian,,,,,,,,,,
95,PIM_LED,205,PIM LED,Command the BLUE or RED LED to turn ON or OFF,20,10726,2,1336,,2,PIM_LED_ACTION,,24,,4803,,PIM LED Action,,UInt8,8,little_endian,,,,,,,,,,
96,ACS_NOOP,500,ACS Noop,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
97,ACS_RAW,501,ACS Raw,,10,25002,476,26002,,2,ACS_CMD_RAW,,24,1478,,,ACS Raw Command Data,,UInt8,8,little_endian,,,ACS_RAW_CMD,1,256,,,,,
97,ACS_RAW_CSSUSAGE,515,ACS Raw - CSS Usage,Enable or Disable coarse sun sensor usage,10,27033,3,250141,1831,3,ARC_APID,,24,,,,ACS Raw Command - Application Identifier,,UInt8,8,big_endian,11,11,,,,,,,,
97,ACS_RAW_CSSUSAGE,515,ACS Raw - CSS Usage,Enable or Disable coarse sun sensor usage,20,27034,3,250142,1851,3,ARC_OPCODE,,24,,,,ACS Raw Command - Operation Code,,UInt8,8,big_endian,1,1,,,,,,,,
97,ACS_RAW_CSSUSAGE,515,ACS Raw - CSS Usage,Enable or Disable coarse sun sensor usage,30,27035,3,250157,,3,ARC_CSSUSAGE_STATUS,,24,,4523,,ACS Raw Command - CSS Usage Status,Enable or disable sun sensor usage,UInt8,8,big_endian,,,,,,,,,,
97,ACS_RAW_IMUUSAGE,516,ACS Raw - IMU Usage,Enable or Disable IMU usage,10,27036,3,250141,1832,3,ARC_APID,,24,,,,ACS Raw Command - Application Identifier,,UInt8,8,big_endian,13,13,,,,,,,,
97,ACS_RAW_IMUUSAGE,516,ACS Raw - IMU Usage,Enable or Disable IMU usage,20,27037,3,250142,1851,3,ARC_OPCODE,,24,,,,ACS Raw Command - Operation Code,,UInt8,8,big_endian,1,1,,,,,,,,
97,ACS_RAW_IMUUSAGE,516,ACS Raw - IMU Usage,Enable or Disable IMU usage,30,27038,3,250158,,3,ARC_IMUUSAGE_STATUS,,24,,4523,,ACS Raw Command - IMU Usage Status,Enable or Disable IMU usage,UInt8,8,big_endian,,,,,,,,,,
97,ACS_RAW_INITPOSVELTAISEC,519,ACS Raw - Initialize Position and Velocity using TAI Second,"Initialize spacecraft orbit ephemeris, using position, velocity and time in TAI seconds.",10,27048,58,250141,1834,3,ARC_APID,,24,,,,ACS Raw Command - Application Identifier,,UInt8,8,big_endian,4,4,,,,,,,,
97,ACS_RAW_INITPOSVELTAISEC,519,ACS Raw - Initialize Position and Velocity using TAI Second,"Initialize spacecraft orbit ephemeris, using position, velocity and time in TAI seconds.",20,27049,58,250142,1855,3,ARC_OPCODE,,24,,,,ACS Raw Command - Operation Code,,UInt8,8,big_endian,5,5,,,,,,,,
97,ACS_RAW_INITPOSVELTAISEC,519,ACS Raw - Initialize Position and Velocity using TAI Second,"Initialize spacecraft orbit ephemeris, using position, velocity and time in TAI seconds.",30,27050,58,250143,,3,ARC_TAI_TIME,s,29,,,,ACS Raw Command - TAI Time,"Seconds since 1 Jan, 2000 00:00:00 TAI",Ieee64,64,big_endian,,,,,,,,,,
97,ACS_RAW_INITPOSVELTAISEC,519,ACS Raw - Initialize Position and Velocity using TAI Second,"Initialize spacecraft orbit ephemeris, using position, velocity and time in TAI seconds.",40,27051,58,250144,,3,ARC_POSX,km,29,,,,ACS Raw Command - Position X,X component of J2000 ECI position vector (km),Ieee64,64,big_endian,,,,,,,,,,
97,ACS_RAW_INITPOSVELTAISEC,519,ACS Raw - Initialize Position and Velocity using TAI Second,"Initialize spacecraft orbit ephemeris, using position, velocity and time in TAI seconds.",50,27052,58,250145,,3,ARC_POSY,km,29,,,,ACS Raw Command - Position Y,Y component of J2000 ECI position vector (km),Ieee64,64,big_endian,,,,,,,,,,
97,ACS_RAW_INITPOSVELTAISEC,519,ACS Raw - Initialize Position and Velocity using TAI Second,"Initialize spacecraft orbit ephemeris, using position, velocity and time in TAI seconds.",60,27053,58,250146,,3,ARC_POSZ,km/s,29,,,,ACS Raw Command - Position Z,Z component of J2000 ECI position vector (km),Ieee64,64,big_endian,,,,,,,,,,
97,ACS_RAW_INITPOSVELTAISEC,519,ACS Raw - Initialize Position and Velocity using TAI Second,"Initialize spacecraft orbit ephemeris, using position, velocity and time in TAI seconds.",70,27054,58,250147,,3,ARC_VELX,km/s,29,,,,ACS Raw Command - Velocity X,X component of J2000 ECI velocity vector (km/s),Ieee64,64,big_endian,,,,,,,,,,
97,ACS_RAW_INITPOSVELTAISEC,519,ACS Raw - Initialize Position and Velocity using TAI Second,"Initialize spacecraft orbit ephemeris, using position, velocity and time in TAI seconds.",80,27055,58,250148,,3,ARC_VELY,km/s,29,,,,ACS Raw Command - Velocity Y,Y component of J2000 ECI velocity vector (km/s),Ieee64,64,big_endian,,,,,,,,,,
97,ACS_RAW_INITPOSVELTAISEC,519,ACS Raw - Initialize Position and Velocity using TAI Second,"Initialize spacecraft orbit ephemeris, using position, velocity and time in TAI seconds.",90,27056,58,250149,,3,ARC_VELZ,km/s,29,,,,ACS Raw Command - Velocity Z,Z component of J2000 ECI velocity vector (km/s),Ieee64,64,big_endian,,,,,,,,,,
97,ACS_RAW_NOOP,510,ACS Raw - Noop,No Operation. Increments command accept counter by 1,10,27015,2,250141,1826,3,ARC_APID,,24,,,,ACS Raw Command - Application Identifier,,UInt8,8,big_endian,1,1,,,,,,,,
97,ACS_RAW_NOOP,510,ACS Raw - Noop,No Operation. Increments command accept counter by 1,20,27016,2,250142,1851,3,ARC_OPCODE,,24,,,,ACS Raw Command - Operation Code,,UInt8,8,big_endian,1,1,,,,,,,,
97,ACS_RAW_SETWHEELMODE,512,ACS Raw - Set Wheel Mode,Sets wheel mode to internal/external. External needs to be sent to test the wheel speed.,10,27019,4,250141,1829,3,ARC_APID,,24,,,,ACS Raw Command - Application Identifier,,UInt8,8,big_endian,7,7,,,,,,,,
97,ACS_RAW_SETWHEELMODE,512,ACS Raw - Set Wheel Mode,Sets wheel mode to internal/external. External needs to be sent to test the wheel speed.,20,27020,4,250142,1852,3,ARC_OPCODE,,24,,,,ACS Raw Command - Operation Code,,UInt8,8,big_endian,2,2,,,,,,,,
97,ACS_RAW_SETWHEELMODE,512,ACS Raw - Set Wheel Mode,Sets wheel mode to internal/external. External needs to be sent to test the wheel speed.,30,27021,4,250150,,3,ARC_WHEEL,,24,,4520,,ACS Raw Command - Wheel,Sets which wheel this command applies to (use zero to set all wheels),UInt8,8,big_endian,,,,,,,,,,
97,ACS_RAW_SETWHEELMODE,512,ACS Raw - Set Wheel Mode,Sets wheel mode to internal/external. External needs to be sent to test the wheel speed.,40,27022,4,250151,,3,ARC_WHEEL_MODE,,24,,4519,,ACS Raw Command - Wheel Mode,0/IDLE 1/INTERNAL 2/EXTERNAL,UInt8,8,big_endian,,,,,,,,,,
97,ACS_RAW_SETWHEELSPEED,513,ACS Raw - Set Wheel Speed,Sets the desired wheel speed(only in External Mode),10,27023,9,250141,1829,3,ARC_APID,,24,,,,ACS Raw Command - Application Identifier,,UInt8,8,big_endian,7,7,,,,,,,,
97,ACS_RAW_SETWHEELSPEED,513,ACS Raw - Set Wheel Speed,Sets the desired wheel speed(only in External Mode),20,27024,9,250142,1854,3,ARC_OPCODE,,24,,,,ACS Raw Command - Operation Code,,UInt8,8,big_endian,4,4,,,,,,,,
97,ACS_RAW_SETWHEELSPEED,513,ACS Raw - Set Wheel Speed,Sets the desired wheel speed(only in External Mode),30,27025,9,250152,,3,ARC_WHEEL_SPEED_1,r/min,7,,,,ACS Raw Command - Wheel 1 Speed,Wheel 1 desired speed (RPM),Int16,16,big_endian,,,,,,,,,,
97,ACS_RAW_SETWHEELSPEED,513,ACS Raw - Set Wheel Speed,Sets the desired wheel speed(only in External Mode),40,27026,9,250153,,3,ARC_WHEEL_SPEED_2,r/min,7,,,,ACS Raw Command - Wheel 2 Speed,Wheel 2 desired speed (RPM),Int16,16,big_endian,,,,,,,,,,
97,ACS_RAW_SETWHEELSPEED,513,ACS Raw - Set Wheel Speed,Sets the desired wheel speed(only in External Mode),50,27027,9,250154,,3,ARC_WHEEL_SPEED_3,r/min,7,,,,ACS Raw Command - Wheel 3 Speed,Wheel 3 desired speed (RPM),Int16,16,big_endian,,,,,,,,,,
97,ACS_RAW_SETWHEELSPEED,513,ACS Raw - Set Wheel Speed,Sets the desired wheel speed(only in External Mode),60,27028,9,250150,,3,ARC_WHEEL,,24,,4520,,ACS Raw Command - Wheel,Sets which wheel this command applies to (use zero to set all wheels),UInt8,8,big_endian,,,,,,,,,,
97,ACS_RAW_TAKEPHOTO,518,ACS Raw - Take Photo,"Take images with commanded settings, and store for later downlink.",10,27041,8,250141,1833,3,ARC_APID,,24,,,,ACS Raw Command - Application Identifier,,UInt8,8,big_endian,38,38,,,,,,,,
97,ACS_RAW_TAKEPHOTO,518,ACS Raw - Take Photo,"Take images with commanded settings, and store for later downlink.",20,27042,8,250142,1860,3,ARC_OPCODE,,24,,,,ACS Raw Command - Operation Code,,UInt8,8,big_endian,10,10,,,,,,,,
97,ACS_RAW_TAKEPHOTO,518,ACS Raw - Take Photo,"Take images with commanded settings, and store for later downlink.",30,27043,8,250159,,3,ARC_TP_GAIN,,24,,4524,,ACS Raw Command - Gain,Analog gain used in Photo mode,UInt8,8,big_endian,,,,,,,,,,
97,ACS_RAW_TAKEPHOTO,518,ACS Raw - Take Photo,"Take images with commanded settings, and store for later downlink.",40,27044,8,250160,,3,ARC_TP_INTMODE,,24,,4525,,ACS Raw Command - Integration Mode,Logarithmic reduces saturation and provides better contrast.,UInt8,8,big_endian,,,,,,,,,,
97,ACS_RAW_TAKEPHOTO,518,ACS Raw - Take Photo,"Take images with commanded settings, and store for later downlink.",50,27045,8,250161,,3,ARC_TP_TINT,us,25,,,,ACS Raw Command - Integration Time,Integration time in micro-seconds,UInt16,16,big_endian,,,,,,,,,,
97,ACS_RAW_TAKEPHOTO,518,ACS Raw - Take Photo,"Take images with commanded settings, and store for later downlink.",60,27046,8,250162,,3,ARC_TP_NUMPHOTOS,,24,,,,ACS Raw Command - Number of Photos,Number of consecutive photos to take.,UInt8,8,big_endian,,,,,,,,,,
